Year,Month,Day,Hour,Minute,Wave Height,Direction Dominant Period,Average Wave Period,Tide
2023,01,03,12,30,1.05,6.67,5.34,99.00
2023,01,03,13,00,1.08,6.45,5.30,99.00
2023,01,03,13,30,1.10,6.45,5.27,99.00
2023,01,03,14,00,1.26,6.67,5.40,99.00
2023,01,03,14,30,1.16,6.90,5.29,99.00
2023,01,03,15,00,1.26,6.90,5.40,99.00
2023,01,03,15,30,1.24,6.25,5.32,99.00
2023,01,03,16,00,1.27,6.90,5.35,99.00
2023,01,03,16,30,1.21,6.45,5.31,99.00
2023,01,03,17,00,1.25,6.90,5.33,99.00
2023,01,03,17,30,1.26,6.90,5.23,99.00
2023,01,03,18,00,1.38,6.90,5.36,99.00
2023,01,03,18,30,1.39,7.14,5.33,99.00
2023,01,03,19,00,1.36,6.90,5.27,99.00
2023,01,03,19,30,1.56,7.14,5.60,99.00
2023,01,03,20,00,1.48,7.41,5.62,99.00
2023,01,03,20,30,1.49,7.41,5.63,99.00
2023,01,03,21,00,1.50,6.90,5.59,99.00
2023,01,03,21,30,1.43,7.41,5.63,99.00
2023,01,03,22,00,1.58,7.14,5.77,99.00
2023,01,03,22,30,1.43,7.69,5.71,99.00
2023,01,03,23,00,1.54,7.41,5.92,99.00
2023,01,03,23,30,1.45,7.69,5.84,99.00
2023,01,04,00,00,1.48,7.41,6.00,99.00
2023,01,04,00,30,1.53,7.69,6.02,99.00
2023,01,04,01,00,1.57,7.69,6.05,99.00
2023,01,04,01,30,1.59,8.00,6.07,99.00
2023,01,04,02,00,1.53,8.00,5.94,99.00
2023,01,04,02,30,1.57,8.00,6.08,99.00
2023,01,04,03,00,1.55,7.69,6.01,99.00
2023,01,04,03,30,1.71,7.69,6.09,99.00
2023,01,04,04,00,1.53,8.00,5.80,99.00
2023,01,04,04,30,1.66,7.69,5.83,99.00
2023,01,04,05,00,1.59,8.00,5.83,99.00
2023,01,04,05,30,1.67,8.00,5.88,99.00
2023,01,04,06,00,1.53,7.69,5.55,99.00
2023,01,04,06,30,1.54,8.00,5.39,99.00
2023,01,04,07,00,1.68,7.69,5.41,99.00
2023,01,04,07,30,1.67,8.00,5.28,99.00
2023,01,04,08,00,1.67,8.00,5.26,99.00
2023,01,04,08,30,1.61,7.41,5.17,99.00
2023,01,04,09,00,1.63,7.69,5.39,99.00
2023,01,04,09,30,1.51,8.33,5.20,99.00
2023,01,04,10,00,1.70,8.00,5.24,99.00
2023,01,04,10,30,1.58,8.00,4.63,99.00
2023,01,04,11,00,1.48,7.69,4.69,99.00
2023,01,04,11,30,1.52,8.00,5.20,99.00
2023,01,04,12,00,1.56,8.00,5.18,99.00
2023,01,04,12,30,1.54,7.69,5.31,99.00
2023,01,04,13,00,1.37,8.00,5.34,99.00
2023,01,04,13,30,1.38,7.69,5.76,99.00
2023,01,04,14,00,1.35,7.69,5.84,99.00
2023,01,04,14,30,1.34,7.41,6.04,99.00
2023,01,04,15,00,1.33,7.69,6.29,99.00
2023,01,04,15,30,1.33,7.69,6.37,99.00
2023,01,04,16,00,1.16,7.41,6.18,99.00
2023,01,04,16,30,1.24,7.41,6.42,99.00
2023,01,04,17,00,1.17,7.14,6.35,99.00
2023,01,04,17,30,1.14,7.41,6.16,99.00
2023,01,04,18,00,1.24,7.41,6.43,99.00
2023,01,04,18,30,1.16,7.69,6.34,99.00
2023,01,04,19,00,1.10,7.41,6.28,99.00
2023,01,04,19,30,1.13,7.69,6.37,99.00
2023,01,04,20,00,1.18,7.14,6.35,99.00
2023,01,04,20,30,1.25,7.69,6.44,99.00
2023,01,04,21,00,1.08,7.41,5.97,99.00
2023,01,04,21,30,1.22,7.14,6.34,99.00
2023,01,04,22,00,1.19,7.14,6.11,99.00
2023,01,04,22,30,1.18,6.90,6.05,99.00
2023,01,04,23,00,1.06,6.90,5.57,99.00
2023,01,04,23,30,1.08,6.90,5.57,99.00
2023,01,05,00,00,1.12,7.69,5.64,99.00
2023,01,05,00,30,1.00,7.14,5.29,99.00
2023,01,05,01,00,1.14,7.14,5.50,99.00
2023,01,05,01,30,1.19,7.41,5.60,99.00
2023,01,05,02,00,1.10,7.69,5.36,99.00
2023,01,05,02,30,1.10,7.14,5.36,99.00
2023,01,05,03,00,1.05,6.90,5.30,99.00
2023,01,05,03,30,1.00,7.14,5.15,99.00
2023,01,05,04,00,1.00,6.90,5.23,99.00
2023,01,05,04,30,1.09,7.14,5.57,99.00
2023,01,05,05,00,1.02,7.14,5.52,99.00
2023,01,05,05,30,0.95,7.14,5.48,99.00
2023,01,05,06,00,1.00,6.90,5.49,99.00
2023,01,05,06,30,0.98,6.90,5.24,99.00
2023,01,05,07,00,0.97,6.90,5.01,99.00
2023,01,05,07,30,0.93,7.14,4.73,99.00
2023,01,05,08,00,0.95,6.67,4.45,99.00
2023,01,05,08,30,0.96,6.90,4.27,99.00
2023,01,05,09,00,1.07,6.67,4.26,99.00
2023,01,05,09,30,1.06,6.67,3.95,99.00
2023,01,05,10,00,0.99,7.14,4.02,99.00
2023,01,05,10,30,0.93,6.90,4.09,99.00
2023,01,05,11,00,0.89,6.67,4.15,99.00
2023,01,05,11,30,0.84,7.41,3.96,99.00
2023,01,05,12,00,0.90,6.45,4.20,99.00
2023,01,05,12,30,0.82,6.25,4.24,99.00
2023,01,05,13,00,0.78,6.45,4.39,99.00
2023,01,05,13,30,0.69,6.90,4.35,99.00
2023,01,05,14,00,0.65,7.14,4.72,99.00
2023,01,05,14,30,0.63,6.25,4.99,99.00
2023,01,05,15,00,0.60,6.67,5.21,99.00
2023,01,05,15,30,0.59,6.90,5.42,99.00
2023,01,05,16,00,0.55,6.45,5.34,99.00
2023,01,05,16,30,0.50,6.45,5.28,99.00
2023,01,05,17,00,0.50,6.67,5.34,99.00
2023,01,05,17,30,0.48,6.45,5.34,99.00
2023,01,05,18,00,0.42,6.45,5.27,99.00
2023,01,05,18,30,0.44,6.25,5.37,99.00
2023,01,05,19,00,0.45,6.06,5.26,99.00
2023,01,05,19,30,0.43,6.45,5.49,99.00
2023,01,05,20,00,0.42,6.25,5.57,99.00
2023,01,05,20,30,0.41,6.67,5.60,99.00
2023,01,05,21,00,0.41,6.25,5.68,99.00
2023,01,05,21,30,0.35,6.45,5.69,99.00
2023,01,05,22,00,0.38,6.45,5.56,99.00
2023,01,05,22,30,0.34,6.45,5.56,99.00
2023,01,05,23,00,0.32,6.06,5.42,99.00
2023,01,05,23,30,0.38,6.06,5.37,99.00
2023,01,06,00,00,0.33,6.90,5.53,99.00
2023,01,06,00,30,0.34,6.25,5.20,99.00
2023,01,06,01,00,0.32,6.45,5.05,99.00
2023,01,06,01,30,0.30,6.25,4.98,99.00
2023,01,06,02,00,0.29,6.06,4.65,99.00
2023,01,06,02,30,0.35,6.06,4.69,99.00
2023,01,06,03,00,0.28,6.06,4.42,99.00
2023,01,06,03,30,0.31,6.25,4.73,99.00
2023,01,06,04,00,0.28,5.71,4.82,99.00
2023,01,06,04,30,0.29,6.45,4.88,99.00
2023,01,06,05,00,0.25,6.06,4.89,99.00
2023,01,06,05,30,0.28,7.69,5.23,99.00
2023,01,06,06,00,0.26,7.14,5.21,99.00
2023,01,06,06,30,0.29,5.13,4.92,99.00
2023,01,06,07,00,0.27,7.41,5.03,99.00
2023,01,06,07,30,0.27,7.41,4.92,99.00
2023,01,06,08,00,0.26,5.88,4.91,99.00
2023,01,06,08,30,0.24,99.00,4.91,99.00
2023,01,06,09,00,0.27,6.90,5.13,99.00
2023,01,06,09,30,0.25,6.25,4.88,99.00
2023,01,06,10,00,0.24,99.00,4.77,99.00
2023,01,06,10,30,0.25,6.67,4.55,99.00
2023,01,06,11,00,0.25,6.25,4.86,99.00
2023,01,06,11,30,0.26,5.88,4.89,99.00
2023,01,06,12,00,0.23,99.00,4.62,99.00
2023,01,06,12,30,0.29,5.56,4.37,99.00
2023,01,06,13,00,0.26,7.41,3.99,99.00
2023,01,06,13,30,0.26,5.56,3.47,99.00
