#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 02 01 30 999 99.0 99.0  0.49  5.88  4.96 183 9999.0  16.9  16.0 999.0 99.0 99.00
2023 01 02 02 00 999 99.0 99.0  0.48  5.71  5.09 172 9999.0  17.0  15.9 999.0 99.0 99.00
2023 01 02 02 30 999 99.0 99.0  0.47  5.56  4.88 174 9999.0  17.2  15.9 999.0 99.0 99.00
2023 01 02 03 00 999 99.0 99.0  0.45  5.71  4.75 185 9999.0  17.3  15.7 999.0 99.0 99.00
2023 01 02 03 30 999 99.0 99.0  0.45  5.56  4.68 184 9999.0  16.8  15.7 999.0 99.0 99.00
2023 01 02 04 00 999 99.0 99.0  0.43  5.88  4.61 180 9999.0  16.8  15.7 999.0 99.0 99.00
2023 01 02 04 30 999 99.0 99.0  0.43  5.56  4.17 182 9999.0  16.5  15.6 999.0 99.0 99.00
2023 01 02 05 00 999 99.0 99.0  0.42  5.56  4.32 178 9999.0  16.9  15.5 999.0 99.0 99.00
2023 01 02 05 30 999 99.0 99.0  0.44  5.41  4.22 180 9999.0  16.7  15.5 999.0 99.0 99.00
2023 01 02 06 00 999 99.0 99.0  0.46  5.71  4.27 179 9999.0  16.4  15.5 999.0 99.0 99.00
2023 01 02 06 30 999 99.0 99.0  0.45  5.71  4.49 173 9999.0  16.7  15.4 999.0 99.0 99.00
2023 01 02 07 00 999 99.0 99.0  0.43  5.88  4.39 165 9999.0  16.5  15.4 999.0 99.0 99.00
2023 01 02 07 30 999 99.0 99.0  0.43  5.71  4.33 182 9999.0  16.8  15.4 999.0 99.0 99.00
2023 01 02 08 00 999 99.0 99.0  0.40  5.56  4.14 175 9999.0  16.4  15.5 999.0 99.0 99.00
2023 01 02 08 30 999 99.0 99.0  0.38  5.88  4.20 176 9999.0  16.3  15.5 999.0 99.0 99.00
